,Price (ZAR)
Cutting Disc Steel Slimline  115X1.0X22.23  Bf  Evolution Superflex (steel),14.0
Door Frame Steel 813x2032x115 0.9mm Combi 2L RH OI DR PBS S (steel),1373.53
Window Frame Steel  F7 NCTX7S (steel),388.01
Door Frame Steel 813x2032x115 0.9mm SR RH PBS S Paint (steel),439.36
Door Frame Steel 813x2032x115 0.9mm SR LH PBS S Paint (steel),441.85
Angle Mild Steel  25x 25x 2.0mm x  3.000m (steel),89.99
Door Frame Steel 813x2032x115 0.9mm DR LH PBS S Paint (steel),481.1
Ruwag Econo Diamond Blade 230mm Segmented 2Pce Value Pack (steel),179.75
Blade Diamond 115mm Segmented 3 blade  Value pk Ruwag rdbebc1153p (steel),76.36
Glove Crayfish SAF00009 (steel),16.94
Safety Glove Red/Black Crinkle Palm Size 9 (steel),12.87
Safety Glove Red/Black Crinkle Palm Size10 (steel),12.83
Window Frame Steel  F7 NC2F LH (steel),509.2
Trap Door Ceiling 400x400 Steel White (steel),556.0
Flat Bar Mild Steel  40x5.0mm  3.0m (steel),135.24
Flat Bar Mild Steel  25x5.0mm 3.0m (steel),81.91
Flat Bar Mild Steel 100x6.0mm  6.0m (steel),704.79
Door Frame Steel 813x2032x115 1.0mm DR RH PBS S Painted (steel),549.0
Window Frame Steel  F7 C2H RH (steel),494.73
Door Frame Steel 813x2032x115 1.0mm SR RH (steel),474.08
Window Frame Steel  F7 E1H (steel),352.42
Angle Mild Steel  40x 40x 3.0mm x  3.000m (steel),214.99
Flat Bar Mild Steel  30x5.0mm x 6.0m (steel),169.26
Flat Bar Mild Steel  20x5.0mm 3.0m (steel),94.74
IBR Roof Sheet 0.50mm Galv FH Z275 (686 Cover) 3.6m (roofing sheets),479.31
IBR Roof Sheet 0.30mm Galv Z100 (686 Cover) 3.6m (roofing sheets),252.7
Corrugated Roof Sheet 0.30mm Galv Z100 8.5 (610 Cover) 3.6m (roofing sheets),210.73
IBR Roof Sheet 0.40mm Galv Z150 (686 Cover) 6.0m (roofing sheets),561.53
Roof Sheet Corr 0.40mm Galv Z100 10.5 (762 Cover) 6.000m (roofing sheets),512.96
Corrugated Roof Sheet 0.50mm Galv FH Z275 10.5 (762 Cover) 4.8m (roofing sheets),622.52
Corrugated Roof Sheet 0.30mm Galv 8.5 (610 Cover) 3.6m (roofing sheets),218.64
Corrugated Roof Sheet 0.27mm Galv Z100 8.5 (610 Cover) 3.0m (roofing sheets),154.05
Corrugated Roof Sheet 1.0mm Poly Solar Control 10.5 (762 Cover) 4.20m (roofing sheets),1149.0
Corrugated Roof Sheet 1.0mm Poly Solar Control 10.5 (762 Cover) 3.00m (roofing sheets),829.0
Corrugated Roof Sheet 1.0mm Poly Solar Control 10.5 (762 Cover) 2.40m (roofing sheets),649.0
Roof Sheet Fibreglass Fibatuf Fibarib 3.0m Green (roofing sheets),349.0
Roof Sheet Fibreglass Fibatuf Fibarib 3.0m Clear (roofing sheets),339.0
Roof Sheet Fibreglass Fibatuf Fibarib 2.4m White (roofing sheets),279.99
Roof Sheet Fibreglass Fibatuf Fibarib 2.4m Green (roofing sheets),274.99
Roof Sheet Fibreglass Fibatuf Fibarib 2.4m Clear (roofing sheets),272.49
Marley Fibre Cement Grey Roof Sheet 0.6mm 3600x920mm CKCR36006 (roofing sheets),1248.99
Marley Fibre Cement Grey Roof Sheet 0.6mm 3000x920mm CKCR30006 (roofing sheets),955.66
Marley Fibre Cement Grey Roof Sheet 0.6mm 2400x920mm CKCR24006 (roofing sheets),729.0
Roof Sheet Polycarbonate Natralite IBR 4.2m Blue (roofing sheets),729.0
Roof Sheet Fibreglass Fibatuf Fibawave 3.6m Opal (roofing sheets),419.0
Roof Sheet Polycarbonate Natralite IBR 2.4m Green (roofing sheets),409.0
Roof Sheet Fibreglass Fibatuf Fibarib 3.6m Opal (roofing sheets),409.0
Roof Sheet Fibreglass Fibatuf Fibawave 3.6m Green (roofing sheets),283.33
Channel Lipped  75x 50x20x2.0mm x  6.000m (lipped channel),508.69
Channel Lipped 125x 50x20x3.0mm x  9.000m (lipped channel),1849.0
Channel Lipped 125x 50x20x2.0mm x  9.145m (lipped channel),864.67
Channel Lipped 150x 50x20x2.0mm x  9.145m (lipped channel),947.61
Channel Lipped 100x 50x20x2.0mm x  9.145m (lipped channel),907.96
Channel Lipped 150x 50x20x2.0mm x  6.000m (lipped channel),726.02
Channel Lipped  75x 50x20x2.0mm x  9.145m (lipped channel),699.44
Channel Lipped 125x 50x20x2.0mm x  6.000m (lipped channel),597.84
Channel Lipped 100x 50x20x2.0mm x  6.000m (lipped channel),559.61
